series,person,q,c1,c2,c3,c4,answer,explanation,difficulty
04_enlightenment,john_locke,"Which philosopher argued that people have natural rights to life, liberty, and property?",Thomas Hobbes,John Locke,Voltaire,Immanuel Kant,2,"John Locke believed that government exists to protect natural rights such as life, liberty, and property.",easy
04_enlightenment,social_contract,Which Enlightenment idea claims that government is based on an agreement between rulers and the people?,Divine Right,Social Contract,Absolute Monarchy,Mercantilism,2,The social contract theory argued that political authority comes from the consent of the governed.,normal
04_enlightenment,montesquieu,Which thinker proposed the separation of powers in government?,John Locke,Montesquieu,Jean-Jacques Rousseau,Denis Diderot,2,Montesquieu argued that dividing government into branches would prevent tyranny.,easy
04_enlightenment,separation_of_powers,Into how many branches did Montesquieu divide government power?,One,Two,Three,Four,3,"He proposed legislative, executive, and judicial branches.",normal
04_enlightenment,voltaire,Which Enlightenment writer strongly defended freedom of speech and religion?,Voltaire,Thomas Aquinas,Niccolò Machiavelli,Louis XIV,1,Voltaire criticized intolerance and supported civil liberties.,easy
04_enlightenment,rousseau,"Who wrote ""The Social Contract"" in 1762?",John Locke,Montesquieu,Jean-Jacques Rousseau,Adam Smith,3,Rousseau argued that sovereignty belongs to the people.,normal
04_enlightenment,general_will,Rousseau believed that political authority should reflect what concept?,Divine command,Military power,General will,Royal bloodline,3,Rousseau’s idea of the “general will” meant the collective will of the people.,hard
04_enlightenment,diderot,"Who edited the Encyclopédie, a major work spreading Enlightenment ideas?",Denis Diderot,Voltaire,Isaac Newton,John Calvin,1,The Encyclopédie aimed to gather and spread human knowledge based on reason.,normal
04_enlightenment,kant,"Which philosopher urged people to ""dare to know"" (Sapere aude)?",Immanuel Kant,Thomas Hobbes,Francis Bacon,Napoleon Bonaparte,1,Kant encouraged individuals to use their own reason without guidance from authority.,hard
04_enlightenment,adam_smith,"Which thinker wrote ""The Wealth of Nations"" and laid foundations for modern economics?",Adam Smith,David Hume,John Locke,Jean Bodin,1,Adam Smith promoted free markets and the idea of the “invisible hand.”,normal
03_early_modern,martin_luther,Who began the Protestant Reformation by posting the Ninety-Five Theses in 1517?,Martin Luther,John Calvin,Henry VIII,Ignatius of Loyola,1,Martin Luther criticized the sale of indulgences and challenged the authority of the Catholic Church.,easy
03_early_modern,ninety_five_theses,What practice did Martin Luther strongly criticize in his Ninety-Five Theses?,Pilgrimages,Indulgences,Monastic life,Bible translation,2,"Luther opposed the selling of indulgences, which promised reduction of punishment for sins.",normal
03_early_modern,printing_press,Which invention helped spread Reformation ideas rapidly across Europe?,Compass,Steam engine,Printing press,Telegraph,3,The printing press allowed Luther’s writings to circulate quickly and widely.,easy
03_early_modern,john_calvin,Which reformer established a Protestant community in Geneva?,Martin Luther,John Calvin,Thomas More,Erasmus,2,John Calvin developed influential ideas about predestination and church discipline.,normal
03_early_modern,henry_viii,Which English king broke away from the Catholic Church and founded the Church of England?,Henry VII,Henry VIII,James I,Charles I,2,"Henry VIII separated from Rome in the 1530s, leading to the English Reformation.",easy
03_early_modern,church_of_england,What was the name of the church established by Henry VIII in England?,Lutheran Church,Calvinist Church,Church of England,Eastern Orthodox Church,3,"The Church of England placed the monarch, not the pope, as head of the church.",normal
03_early_modern,counter_reformation,What was the Catholic Church’s response to the Protestant Reformation called?,Great Awakening,Counter-Reformation,Renaissance Revival,Concordat Movement,2,The Counter-Reformation aimed to reform internal abuses and stop the spread of Protestantism.,normal
03_early_modern,council_of_trent,Which meeting (1545–1563) clarified Catholic doctrine during the Counter-Reformation?,Council of Nicaea,Council of Trent,Diet of Worms,Peace of Westphalia,2,The Council of Trent reaffirmed Catholic teachings and reformed church practices.,hard
03_early_modern,thirty_years_war,Which devastating European conflict (1618–1648) was partly caused by religious tensions?,Hundred Years’ War,Thirty Years’ War,War of Spanish Succession,Napoleonic Wars,2,The Thirty Years’ War began as a religious conflict between Protestant and Catholic states.,normal
03_early_modern,peace_of_westphalia,Which 1648 agreement ended the Thirty Years’ War and reshaped European politics?,Treaty of Versailles,Peace of Westphalia,Treaty of Tordesillas,Act of Supremacy,2,The Peace of Westphalia strengthened the concept of state sovereignty.,hard
06_industrial_age,capitalism,"What economic system expanded during the Industrial Age, based on private ownership and profit?",Feudalism,Socialism,Capitalism,Mercantilism,3,Industrial growth encouraged capitalist economies focused on investment and profit.,normal
06_industrial_age,working_conditions,Which problem was common in early factories?,Short work hours,Safe machinery,Child labor,High wages for all,3,Many factories employed children and had poor working conditions.,normal
06_industrial_age,karl_marx,"Which thinker criticized industrial capitalism in ""The Communist Manifesto""?",Karl Marx,Adam Smith,Napoleon Bonaparte,John Locke,1,Karl Marx argued that capitalism created class conflict between workers and owners.,hard
